day,time,name,lat,lng,depth,m
2016/04/16,2:38:49,大分県中部,33.301,131.434,-3,1.5
2016/04/16,2:38:55,熊本県熊本地方,32.719,130.769,-10,2.4
2016/04/16,2:39:19,熊本県熊本地方,32.785,130.784,-13,2.4
2016/04/16,2:39:26,大分県中部,33.251,131.301,-6,2.3
2016/04/16,2:40:12,熊本県阿蘇地方,32.969,131.1,-11,2.2
2016/04/16,2:40:19,熊本県熊本地方,32.667,130.734,-10,2.2
2016/04/16,2:40:55,熊本県熊本地方,32.686,130.718,-10,2.9
2016/04/16,2:41:19,熊本県熊本地方,32.669,130.751,-11,3.6
2016/04/16,2:41:25,大分県中部,33.268,131.368,-9,2
2016/04/16,2:41:42,熊本県阿蘇地方,33.001,131.051,-12,2.9
2016/04/16,2:42:12,熊本県熊本地方,32.836,130.869,-7,2.5
2016/04/16,2:42:23,大分県中部,33.301,131.435,-3,2.8
2016/04/16,2:43:02,熊本県熊本地方,32.686,130.768,-9,3
2016/04/16,2:43:07,大分県中部,33.268,131.401,-8,1.9
2016/04/16,2:44:45,熊本県阿蘇地方,32.967,131.084,-10,2.2
2016/04/16,2:45:00,熊本県熊本地方,32.785,130.784,-12,2.7
2016/04/16,2:45:25,熊本県阿蘇地方,33.118,131.168,-7,3.7
2016/04/16,2:45:39,熊本県熊本地方,32.752,130.768,-10,3.1
2016/04/16,2:46:35,大分県中部,33.3,131.469,-5,1.6
2016/04/16,2:47:19,熊本県熊本地方,32.868,130.868,-12,2.9
2016/04/16,2:48:16,熊本県阿蘇地方,32.952,131.068,-12,2
2016/04/16,2:49:01,熊本県阿蘇地方,32.952,131.101,-12,2.2
2016/04/16,2:49:06,熊本県熊本地方,32.983,130.851,-14,2.4
2016/04/16,2:49:17,大分県中部,33.301,131.436,-3,3.9
2016/04/16,2:49:27,熊本県熊本地方,32.684,130.719,-14,2.8
2016/04/16,2:50:30,大分県中部,33.267,131.352,-10,2.9
2016/04/16,2:50:52,熊本県阿蘇地方,32.935,131.051,-11,2.7
2016/04/16,2:51:10,熊本県熊本地方,32.751,130.753,-10,2.1
2016/04/16,2:51:21,大分県中部,33.3,131.436,-4,2.9
2016/04/16,2:51:48,熊本県阿蘇地方,32.918,131.05,-5,1.8
2016/04/16,2:52:45,熊本県熊本地方,32.684,130.734,-14,2.8
2016/04/16,2:52:46,大分県中部,33.268,131.318,-8,3.4
2016/04/16,2:53:36,熊本県熊本地方,32.833,130.885,-13,2.6
2016/04/16,2:54:24,大分県中部,33.268,131.452,-2,1.6
2016/04/16,2:54:51,熊本県熊本地方,32.702,130.767,-10,2.9
2016/04/16,2:56:05,熊本県阿蘇地方,33.068,131.168,-11,2.8
2016/04/16,2:56:48,大分県中部,33.3,131.434,-4,2.6
2016/04/16,2:56:47,熊本県熊本地方,32.669,130.719,-9,2.7
2016/04/16,2:56:58,熊本県阿蘇地方,32.918,130.986,-10,2.6
2016/04/16,2:57:17,熊本県阿蘇地方,32.95,131.068,-10,3.3
2016/04/16,2:58:05,熊本県熊本地方,32.717,130.736,-13,2.3
2016/04/16,2:58:54,熊本県熊本地方,32.702,130.769,-10,2.6
2016/04/16,2:59:20,熊本県熊本地方,32.735,130.8,-9,2.7
2016/04/16,2:59:31,熊本県阿蘇地方,32.951,131.086,-11,2.2
2016/04/16,2:59:59,熊本県熊本地方,32.733,130.767,-12,3.4
2016/04/16,3:01:25,大分県中部,33.267,131.402,-4,1.7
2016/04/16,3:01:27,熊本県熊本地方,32.853,130.884,-10,2.2
2016/04/16,3:01:43,熊本県阿蘇地方,33.067,131.167,-11,2.5
2016/04/16,3:01:52,熊本県阿蘇地方,32.951,131.083,-9,2.7
2016/04/16,3:01:55,熊本県熊本地方,32.752,130.769,-10,2.6
2016/04/16,3:03:11,熊本県阿蘇地方,32.952,131.084,-7,5.9
2016/04/16,3:04:34,大分県中部,33.253,131.401,-5,不明
2016/04/16,3:04:33,熊本県阿蘇地方,32.968,131.067,-10,3.7
2016/04/16,3:05:21,大分県中部,33.269,131.45,-4,不明
2016/04/16,3:06:14,熊本県阿蘇地方,32.952,131.084,-10,3.3
2016/04/16,3:06:48,熊本県熊本地方,32.769,130.768,-12,2.9
2016/04/16,3:06:53,大分県中部,33.286,131.418,-4,3.5
2016/04/16,3:07:08,熊本県阿蘇地方,32.967,131.101,-7,3.6
2016/04/16,3:07:46,大分県中部,33.3,131.433,-4,2.6
2016/04/16,3:08:06,熊本県阿蘇地方,32.952,131.101,-10,2.8
2016/04/16,3:08:38,大分県中部,33.301,131.436,-4,3.5
2016/04/16,3:08:47,熊本県熊本地方,32.768,130.802,-12,不明
2016/04/16,3:09:30,熊本県阿蘇地方,32.967,131.084,-10,4.2
2016/04/16,3:10:14,熊本県熊本地方,32.786,130.753,-16,2.3
2016/04/16,3:10:19,熊本県阿蘇地方,32.952,131.085,-9,4.1
2016/04/16,3:10:22,大分県中部,33.267,131.369,-5,3.6
2016/04/16,3:10:57,熊本県熊本地方,32.668,130.718,-13,3.4
2016/04/16,3:11:23,熊本県熊本地方,32.736,130.802,-8,3.1
2016/04/16,3:11:43,大分県中部,33.3,131.434,-4,2.1
2016/04/16,3:11:52,熊本県熊本地方,32.685,130.736,-8,2
2016/04/16,3:11:59,熊本県阿蘇地方,32.984,131.1,-13,2.7
2016/04/16,3:12:29,熊本県阿蘇地方,32.9,130.984,-8,3.5
2016/04/16,3:13:06,大分県中部,33.268,131.401,-8,2.6
2016/04/16,3:13:11,熊本県熊本地方,32.818,130.869,-12,3.5
2016/04/16,3:13:37,熊本県阿蘇地方,32.952,131.068,-8,3.5
2016/04/16,3:14:12,熊本県熊本地方,32.786,130.784,-11,不明
2016/04/16,3:14:13,熊本県阿蘇地方,32.968,131.052,-11,3.6
2016/04/16,3:14:46,熊本県熊本地方,32.719,130.784,-8,2.5
2016/04/16,3:14:49,熊本県阿蘇地方,32.968,131.084,-9,3.2
2016/04/16,3:15:02,熊本県熊本地方,32.667,130.751,-10,3
2016/04/16,3:15:53,大分県中部,33.3,131.435,-3,2.9
2016/04/16,3:16:40,熊本県阿蘇地方,32.968,131.1,-10,4.2
2016/04/16,3:17:06,熊本県阿蘇地方,32.951,131.069,-10,3
2016/04/16,3:17:22,熊本県熊本地方,32.786,130.817,-10,2.7
2016/04/16,3:17:54,熊本県阿蘇地方,32.968,131.101,-11,3.1
2016/04/16,3:18:32,熊本県熊本地方,32.734,130.768,-15,2.4
2016/04/16,3:18:36,熊本県阿蘇地方,32.983,131.118,-11,2.9
2016/04/16,3:19:16,大分県中部,33.285,131.451,-5,1.5
2016/04/16,3:19:50,熊本県熊本地方,32.834,130.869,-11,2.2
2016/04/16,3:20:24,熊本県阿蘇地方,32.968,131.068,-10,3
2016/04/16,3:20:48,大分県西部,33.118,131.183,-8,3.8
2016/04/16,3:21:26,熊本県熊本地方,32.734,130.767,-12,2.7
2016/04/16,3:22:02,熊本県阿蘇地方,32.984,131.1,-12,2.4
2016/04/16,3:22:29,熊本県阿蘇地方,32.952,131.084,-12,2.4
2016/04/16,3:22:41,大分県中部,33.284,131.451,-6,1.7
2016/04/16,3:22:55,熊本県熊本地方,32.635,130.717,-7,2.2
2016/04/16,3:23:25,大分県中部,33.301,131.419,-2,2.2
2016/04/16,3:24:17,熊本県阿蘇地方,32.952,131.068,-11,2.5
